date,region,product,units,revenue
2025-01-01,north,alpha,19,219.79
2025-01-02,south,alpha,26,310.37
2025-01-02,north,alpha,14,167.17
2025-01-03,north,gamma,12,104.00
2025-01-04,west,alpha,23,288.31
2025-01-04,east,gamma,22,148.70
2025-01-05,south,gamma,12,96.95
2025-01-06,north,alpha,11,128.26
2025-01-06,north,alpha,14,171.37
2025-01-07,west,beta,14,397.42
2025-01-07,east,alpha,6,76.68
2025-01-08,east,gamma,28,225.00
2025-01-09,north,alpha,27,311.12
2025-01-09,south,delta,14,611.94
2025-01-10,south,alpha,8,98.39
2025-01-10,west,beta,12,312.89
2025-01-11,south,gamma,19,125.26
2025-01-11,south,delta,22,1023.88
2025-01-12,east,beta,20,523.32
2025-01-13,west,gamma,25,202.05
2025-01-14,west,gamma,15,128.20
2025-01-14,east,beta,24,699.45
2025-01-15,north,alpha,27,355.41
2025-01-15,north,gamma,13,117.01
2025-01-16,north,gamma,18,150.60
2025-01-17,west,beta,15,399.20
2025-01-17,east,alpha,11,140.80
2025-01-18,north,alpha,39,474.87
2025-01-19,north,alpha,18,215.64
2025-01-19,north,alpha,18,231.08
2025-01-20,west,beta,9,263.45
2025-01-20,north,beta,19,523.62
2025-01-21,east,delta,22,848.80
2025-01-22,north,beta,21,578.58
2025-01-22,north,delta,8,354.83
2025-01-23,east,delta,21,888.33
2025-01-24,south,alpha,16,156.90
2025-01-24,north,gamma,19,158.45
2025-01-25,west,beta,20,431.88
2025-01-26,south,gamma,17,132.68
2025-01-27,west,alpha,20,237.43
2025-01-28,north,alpha,17,225.77
2025-01-29,south,beta,12,358.09
2025-01-30,north,alpha,14,179.81
2025-01-31,east,alpha,1,13.49
2025-01-31,north,alpha,22,264.66
2025-02-01,south,alpha,27,274.82
2025-02-02,north,gamma,13,100.41
2025-02-03,north,alpha,24,274.62
2025-02-04,north,beta,23,617.47
2025-02-05,east,alpha,15,163.98
2025-02-06,north,gamma,20,169.39
2025-02-07,north,delta,24,1112.53
2025-02-07,north,alpha,15,163.57
2025-02-08,west,delta,23,900.30
2025-02-09,south,beta,26,616.78
2025-02-10,west,gamma,19,165.64
2025-02-11,east,gamma,18,158.72
2025-02-12,north,gamma,21,185.34
2025-02-13,east,alpha,16,184.76
2025-02-13,north,gamma,23,197.57
2025-02-14,south,delta,18,594.60
2025-02-15,west,alpha,27,349.84
2025-02-15,south,beta,26,712.08
2025-02-16,east,alpha,29,356.47
2025-02-16,east,alpha,18,199.04
