signup_date,plan,age,active_days,membership_months,spend
2025-08-02,free,38,17,5,1.97
2024-10-14,free,16,4,14,9.00
2024-04-12,free,16,3,20,6.63
2024-08-12,basic,16,48,16,12.85
2024-08-30,basic,33,21,16,4.71
2024-01-29,basic,28,27,23,16.41
2025-05-19,free,27,11,7,0.00
2025-05-04,free,34,9,8,6.45
2024-11-27,free,39,6,13,0.00
2025-01-08,pro,28,86,11,26.85
2024-04-13,free,51,5,20,0.00
2025-05-13,basic,50,26,7,15.76
2024-08-16,basic,25,15,16,14.38
2024-10-28,free,59,0,14,3.52
2025-08-04,free,59,0,4,0.00
2025-05-23,free,36,42,7,1.51
2024-03-31,basic,32,19,21,13.05
2024-03-10,free,34,7,22,0.00
2024-06-19,pro,30,64,18,34.21
2024-04-13,basic,17,20,20,11.50
2024-02-04,free,45,12,23,0.00
2024-03-17,free,32,21,21,0.00
2024-02-01,free,42,0,23,0.00
2024-07-13,free,26,21,17,0.00
2024-04-08,free,27,11,21,0.00
2024-10-28,basic,28,24,14,11.17
2024-07-30,free,52,19,17,0.00
2025-05-15,pro,27,65,7,24.95
2024-07-10,free,41,0,17,0.00
2025-11-14,free,35,12,1,0.00
2024-03-03,basic,23,17,22,12.82
2025-05-01,basic,30,41,8,11.48
2025-08-07,pro,31,67,4,21.50
2024-05-03,pro,40,72,20,29.93
2024-02-13,free,40,0,22,5.65
2024-09-21,free,48,9,15,0.00
2024-10-09,free,29,26,14,5.29
2024-04-25,free,35,0,20,8.46
2025-07-30,basic,24,46,5,6.43
2025-02-24,free,22,2,10,0.00
2025-09-25,basic,56,36,3,9.92
2025-05-01,pro,41,96,8,30.40
2024-11-06,free,44,0,14,0.00
2024-11-03,pro,37,66,14,21.51
2024-07-11,free,41,0,17,0.00
2024-02-27,free,40,2,22,1.22
2025-08-05,free,46,19,4,0.00
2025-01-04,basic,16,36,12,7.81
2025-10-12,pro,34,88,2,14.61
2025-04-30,basic,43,43,8,16.45
2024-04-02,free,41,21,21,8.68
2025-10-24,free,26,0,2,7.78
2025-11-29,free,25,0,1,0.00
2024-11-08,basic,30,55,13,12.98
2024-08-11,free,24,13,16,0.00
2025-11-09,pro,24,60,1,25.97
2024-10-16,free,64,21,14,5.77
2024-09-24,basic,29,23,15,8.79
2024-02-28,basic,33,15,22,8.41
2025-11-28,free,NA,0,1,0.00
2024-02-06,basic,34,34,23,8.48
2024-08-15,basic,16,34,16,9.40
2024-06-23,basic,41,32,18,12.23
2024-05-11,basic,16,20,19,17.08
2025-11-01,free,26,7,2,0.00
2024-09-23,basic,24,32,15,11.67
2025-10-11,basic,54,40,2,4.97
2025-01-25,free,33,12,11,0.00
2025-08-06,pro,29,89,4,38.36
2024-07-03,basic,29,24,18,10.81
2024-10-07,free,33,1,15,7.07
2024-05-12,basic,31,4,19,15.44
2025-01-27,free,30,0,11,8.03
2025-06-27,free,28,1,6,0.00
2024-05-12,free,32,12,19,0.41
2025-04-11,basic,21,51,8,13.75
2025-05-16,free,33,33,7,0.00
2024-05-14,free,NA,0,19,0.00
2025-10-28,basic,21,14,2,8.12
2024-02-19,basic,23,48,22,11.57
2025-03-02,free,33,26,10,0.00
2024-01-10,free,29,0,24,0.00
2024-04-17,free,30,28,20,0.00
2024-09-26,basic,26,39,15,13.02
2024-07-31,basic,45,30,17,11.48
2024-04-01,pro,30,69,21,35.06
2024-04-13,pro,41,43,20,33.43
2024-09-27,free,35,11,15,2.62
2024-11-16,free,47,0,13,0.00
2025-10-24,free,19,14,2,0.00
2024-12-16,free,42,5,12,3.47
2025-03-07,basic,46,42,9,17.69
2024-06-12,free,43,0,18,0.00
2025-01-02,basic,35,44,12,7.69
2024-05-13,free,43,0,19,0.00
2024-01-13,basic,35,14,23,3.40
2025-11-16,pro,21,68,1,21.29
2025-03-19,basic,24,44,9,6.70
2025-07-25,pro,47,102,5,30.02
2025-06-01,basic,36,26,7,8.78
2024-10-11,free,34,0,14,0.00
2025-08-09,free,25,2,4,0.00
2024-04-15,free,NA,9,20,4.94
2025-09-10,pro,44,65,3,25.26
2024-12-15,free,NA,0,12,0.00
2025-07-27,basic,31,18,5,9.70
2025-11-05,free,35,22,1,0.00
2024-04-18,free,16,20,20,0.00
2025-09-17,free,47,13,3,0.00
2024-12-12,free,27,28,12,5.30
2025-04-06,free,24,0,8,0.04
2025-07-20,pro,33,60,5,29.77
2024-06-30,basic,36,24,18,8.75
2024-11-25,free,21,34,13,0.00
2024-12-17,pro,30,83,12,33.60
2025-06-08,free,45,0,6,0.00
2024-07-24,free,24,0,17,1.19
2024-07-01,free,31,13,18,0.00
